,best_cost
0,0.15042948761843766
1,0.15042948761843766
2,0.12964334744639985
3,0.12964334744639985
4,0.12964334744639985
5,0.12964334744639985
6,0.12964334744639985
7,0.12964334744639985
8,0.12964334744639985
9,0.12883985193153516
10,0.11228210225667042
11,0.11228210225667042
12,0.11228210225667042
13,0.08056217593897112
14,0.08056217593897112
15,0.08056217593897112
16,0.08056217593897112
17,0.08056217593897112
18,0.08056217593897112
19,0.08056217593897112
20,0.08056217593897112
21,0.08056217593897112
22,0.08056217593897112
23,0.08056217593897112
24,0.08056217593897112
25,0.08056217593897112
26,0.08056217593897112
27,0.08056217593897112
28,0.08056217593897112
29,0.08056217593897112
30,0.08056217593897112
31,0.08056217593897112
32,0.08056217593897112
33,0.08056217593897112
34,0.08056217593897112
35,0.08056217593897112
36,0.08056217593897112
37,0.08056217593897112
38,0.08056217593897112
39,0.08056217593897112
40,0.08056217593897112
41,0.08056217593897112
42,0.08056217593897112
43,0.08056217593897112
44,0.05711509426797498
45,0.041777581349549564
46,0.04005658358264209
47,0.02804610387983031
48,0.02295558601285996
49,0.02295558601285996
50,0.02295558601285996
51,0.021289591135282775
52,0.01618073273721536
53,0.014197577598546311
54,0.013457360611146156
55,0.013207675064166686
56,0.007033018795801478
57,0.0058844986140805374
58,0.0018317185741041524
59,0.0018317185741041524
60,0.0018317185741041524
61,0.0013554191606503024
62,0.0013554191606503024
63,0.0005817094175022164
64,0.0005817094175022164
65,0.0005817094175022164
66,0.00034331506537289006
67,0.00034331506537289006
68,0.00034331506537289006
69,0.00034331506537289006
70,0.00034331506537289006
71,0.00017228549198293876
72,0.00016648431893263795
73,0.00016648431893263795
74,0.00016648431893263795
75,0.00016648431893263795
76,0.00016648431893263795
77,0.00016490857117428364
78,0.00016480904851546104
79,0.00016480904851546104
80,0.00011939831877940523
81,0.000117680110647363
82,0.00011764353248596819
83,0.00011764353248596819
84,0.00011739222364984736
85,0.00011739222364984736
86,0.00011739222364984736
87,0.00011739222364984736
88,5.8399302488852625e-05
89,2.9307183573220653e-05
90,2.9273935624859112e-05
91,2.9273935624859112e-05
92,2.9273935624859112e-05
93,2.752142623932349e-05
94,2.7482906143039508e-05
95,2.7481635953422746e-05
96,2.7481635953422746e-05
97,2.748128089253146e-05
98,2.748127378645277e-05
99,2.748127378645277e-05
