,best_cost
0,0.39365756880567837
1,0.3157970810663785
2,0.3157970810663785
3,0.3157970810663785
4,0.3157970810663785
5,0.30937671640330416
6,0.3085429011789853
7,0.3085429011789853
8,0.3085429011789853
9,0.3085429011789853
10,0.3085429011789853
11,0.3085429011789853
12,0.3085429011789853
13,0.3085429011789853
14,0.3085429011789853
15,0.3085429011789853
16,0.3085429011789853
17,0.3085429011789853
18,0.3085429011789853
19,0.3085429011789853
20,0.3085429011789853
21,0.3085429011789853
22,0.3085429011789853
23,0.3085429011789853
24,0.3085429011789853
25,0.3085429011789853
26,0.3085429011789853
27,0.3085429011789853
28,0.3085429011789853
29,0.3085429011789853
30,0.3085429011789853
31,0.30839876362204643
32,0.3070069608079178
33,0.30606210647736176
34,0.3002553411603106
35,0.3002553411603106
36,0.24860476398717252
37,0.24860476398717252
38,0.24860476398717252
39,0.24860476398717252
40,0.24860476398717252
41,0.24860476398717252
42,0.24860476398717252
43,0.24860476398717252
44,0.24860476398717252
45,0.24860476398717252
46,0.24860476398717252
47,0.24860476398717252
48,0.24860476398717252
49,0.24860476398717252
50,0.24860476398717252
51,0.24860476398717252
52,0.24860476398717252
53,0.24860476398717252
54,0.24860476398717252
55,0.24860476398717252
56,0.24860476398717252
57,0.24860476398717252
58,0.24860476398717252
59,0.24860476398717252
60,0.24860476398717252
61,0.24860476398717252
62,0.24860476398717252
63,0.24860476398717252
64,0.24860476398717252
65,0.24860476398717252
66,0.24860476398717252
67,0.24860476398717252
68,0.24860476398717252
69,0.24860476398717252
70,0.24860476398717252
71,0.24860476398717252
72,0.24860476398717252
73,0.24860476398717252
74,0.24860476398717252
75,0.24860476398717252
76,0.24860476398717252
77,0.24860476398717252
78,0.24860476398717252
79,0.24860476398717252
80,0.24860476398717252
81,0.24860476398717252
82,0.24860476398717252
83,0.24860476398717252
84,0.24860476398717252
85,0.24860476398717252
86,0.24860476398717252
87,0.24860476398717252
88,0.24860476398717252
89,0.24860476398717252
90,0.24860476398717252
91,0.24860476398717252
92,0.24860476398717252
93,0.24860476398717252
94,0.24860476398717252
95,0.24860476398717252
96,0.24860476398717252
97,0.24860476398717252
98,0.24860476398717252
99,0.24860476398717252
