,best_cost
0,0.06327530441478874
1,0.06327530441478874
2,0.06327530441478874
3,0.06327530441478874
4,0.06327530441478874
5,0.06327530441478874
6,0.06327530441478874
7,0.06327530441478874
8,0.06327530441478874
9,0.06327530441478874
10,0.06327530441478874
11,0.06327530441478874
12,0.06327530441478874
13,0.06327530441478874
14,0.06327530441478874
15,0.06327530441478874
16,0.06327530441478874
17,0.06327530441478874
18,0.06327530441478874
19,0.06327530441478874
20,0.06327530441478874
21,0.06327530441478874
22,0.06327530441478874
23,0.06327530441478874
24,0.06327530441478874
25,0.06327530441478874
26,0.06327530441478874
27,0.06327530441478874
28,0.06327530441478874
29,0.06327530441478874
30,0.057295555365974776
31,0.02783142045350843
32,0.02783142045350843
33,0.02783142045350843
34,0.02783142045350843
35,0.02783142045350843
36,0.02783142045350843
37,0.02783142045350843
38,0.02783142045350843
39,0.02783142045350843
40,0.02783142045350843
41,0.02783142045350843
42,0.02783142045350843
43,0.02783142045350843
44,0.02783142045350843
45,0.02783142045350843
46,0.02783142045350843
47,0.02783142045350843
48,0.02783142045350843
49,0.02783142045350843
50,0.02783142045350843
51,0.02783142045350843
52,0.02783142045350843
53,0.02783142045350843
54,0.02783142045350843
55,0.02783142045350843
56,0.02783142045350843
57,0.02783142045350843
58,0.02783142045350843
59,0.02783142045350843
60,0.02783142045350843
61,0.02783142045350843
62,0.02783142045350843
63,0.02783142045350843
64,0.02783142045350843
65,0.02783142045350843
66,0.02783142045350843
67,0.02783142045350843
68,0.02783142045350843
69,0.02783142045350843
70,0.02783142045350843
71,0.02783142045350843
72,0.02783142045350843
73,0.02783142045350843
74,0.02783142045350843
75,0.02783142045350843
76,0.02783142045350843
77,0.02783142045350843
78,0.02783142045350843
79,0.02783142045350843
80,0.02783142045350843
81,0.02783142045350843
82,0.02783142045350843
83,0.02783142045350843
84,0.02783142045350843
85,0.02783142045350843
86,0.02783142045350843
87,0.02783142045350843
88,0.02783142045350843
89,0.02783142045350843
90,0.02783142045350843
91,0.02783142045350843
92,0.02707623154536978
93,0.02707623154536978
94,0.02707623154536978
95,0.02707623154536978
96,0.02707623154536978
97,0.02707623154536978
98,0.02707623154536978
99,0.02707623154536978
