,model
0,inf
1,3.4933759746885533
2,0.46081861459224377
3,0.4606415340174038
4,0.4599937999098863
5,0.3524779221346237
6,0.3524753857819481
7,0.35245634919245444
8,0.3497305342925912
9,0.3494456312852923
10,0.2985319020565518
11,0.22481956437738776
12,0.2241073231714783
13,0.22109431929703358
14,0.18477885050071555
15,0.1418586187484294
16,0.1387781132424776
17,0.1351640178320775
18,0.12629194099063942
19,0.12076809801304957
20,0.10967821237212905
21,0.10150804981867059
22,0.09328959502490156
23,0.08828121901971149
24,0.07825656755122659
25,0.07318870326343281
26,0.0696863221013221
27,0.06351887487373083
28,0.055829618460502384
29,0.04972148930259852
30,0.04891737794708059
31,0.04686713784508495
32,0.04568373772928587
33,0.04503261116034472
34,0.044466729089105726
35,0.04363176594628894
36,0.04347399435163091
37,0.043085079070341474
38,0.04277834763501432
39,0.04130925446660611
40,0.041206646761995605
41,0.04083478858415467
