,best_cost
0,0.7679565980967593
1,0.32653803684080374
2,0.2064905497483377
3,0.2064905497483377
4,0.1763154037123424
5,0.1763154037123424
6,0.1763154037123424
7,0.1763154037123424
8,0.1763154037123424
9,0.1763154037123424
10,0.1763154037123424
11,0.1763154037123424
12,0.15012906927078198
13,0.13461869342120977
14,0.11633754384715962
15,0.10410734706434314
16,0.09650697960490585
17,0.08584979960981859
18,0.07838293409547388
19,0.06373195265726882
20,0.06373195265726882
21,0.06373195265726882
22,0.06373195265726882
23,0.054625344660911436
24,0.05076143753621366
25,0.04001948208437313
26,0.03448662358166522
27,0.03448662358166522
28,0.03448662358166522
29,0.03448662358166522
30,0.03448662358166522
31,0.03448662358166522
32,0.03448662358166522
33,0.03448662358166522
34,0.03448662358166522
35,0.03448662358166522
36,0.03448662358166522
37,0.03448662358166522
38,0.03419527659779387
39,0.03419527659779387
40,0.03419527659779387
41,0.03419527659779387
42,0.03419527659779387
43,0.03419527659779387
44,0.03419527659779387
45,0.03419527659779387
46,0.03419527659779387
47,0.03419527659779387
48,0.03419527659779387
49,0.03419527659779387
50,0.03419527659779387
51,0.03419527659779387
52,0.03419527659779387
53,0.03419527659779387
54,0.03419527659779387
55,0.03419527659779387
56,0.03419527659779387
57,0.03419527659779387
58,0.03419527659779387
59,0.03419527659779387
60,0.03395515290618758
61,0.03372121113298312
62,0.030501767120460054
63,0.030501767120460054
64,0.030501767120460054
65,0.030501767120460054
66,0.029519193145698976
67,0.029519193145698976
68,0.029519193145698976
69,0.02915929763778721
70,0.02915929763778721
71,0.02915929763778721
72,0.02915929763778721
73,0.02915929763778721
74,0.02915929763778721
75,0.02915929763778721
76,0.02915929763778721
77,0.02915929763778721
78,0.02915929763778721
79,0.02915929763778721
80,0.02915929763778721
81,0.02915929763778721
82,0.02915929763778721
83,0.02915929763778721
84,0.02915929763778721
85,0.02915929763778721
86,0.028300432930162153
87,0.028300432930162153
88,0.028300432930162153
89,0.02755637627644064
90,0.02755637627644064
91,0.02755637627644064
92,0.02755637627644064
93,0.02755637627644064
94,0.02755637627644064
95,0.02755637627644064
96,0.02755637627644064
97,0.02755637627644064
98,0.02755637627644064
99,0.02755637627644064
