,topology
0,inf
1,1.3242994458286623
2,1.069176806954975
3,1.0681420887121962
4,1.0670507617626819
5,0.5438042537930445
6,0.5437427946868996
7,0.5436661398738861
8,0.3003920732720214
9,0.3003797427878149
10,0.30034543123548746
11,0.3003448423477159
12,0.30034351845104656
13,0.3000423398731342
14,0.2572881274957619
15,0.25696291738014354
16,0.2566230153657394
17,0.25655074991271876
18,0.25633054427274043
19,0.12255499107911354
20,0.11946830883897416
21,0.11934246120095342
22,0.11929684036799355
23,0.11742289881333356
24,0.1171351498015292
25,0.11110304493926225
26,0.08953557323659231
27,0.056785157549054804
28,0.05324136992778095
29,0.0471707803865757
30,0.04587920502018707
31,0.04412161024281787
32,0.04379172845911709
33,0.043725192651611636
34,0.04358099086359714
35,0.04356384426119038
36,0.043495426215025425
37,0.043494150885645344
38,0.04346429610050628
39,0.04339503850867096
40,0.04339502121036769
41,0.0433943628286413
42,0.0433942423405668
43,0.04339424184969418
44,0.043364191961676304
45,0.043359340546254656
46,0.04306421905820093
47,0.04306042181460387
48,0.043043485757628765
49,0.043039141968195645
50,0.04303622310585751
51,0.04303531718232571
52,0.04303513390184982
53,0.04302512129401488
54,0.04301999229047925
55,0.04301945863657334
56,0.0430191828911396
57,0.043019182856585486
