,hidden_layer
0,inf
1,7119.621252917696
2,786.6878623163914
3,79.34390905623731
4,6.224532108886916
5,0.9399019728466259
6,0.30717912481933335
7,0.2899400862225066
8,0.2895064977118126
9,0.2894379253460863
10,0.2892071297321203
11,0.2891179893409587
12,0.2890940504145679
13,0.28778041654412556
14,0.28631817066081555
15,0.28458039885257774
16,0.28431883876187614
17,0.28404447196000693
18,0.28042518661619636
19,0.2788552658601919
20,0.2778178412940587
21,0.273866687737377
22,0.2685287187150498
23,0.2674788427984406
24,0.26468438750852624
25,0.25701769809011776
26,0.2545512236932805
27,0.24470712196946914
28,0.24448559112457677
29,0.23989705675590084
30,0.2336944766951171
31,0.23054954976437433
32,0.22596829195112006
33,0.22442143891810828
34,0.21257895059732476
35,0.2124522132100351
36,0.21047283524662413
37,0.21027833300587898
38,0.20769072398716004
39,0.18748579455728837
40,0.18282921991159262
41,0.17894188764429877
42,0.17774037365852374
43,0.1726305428117389
44,0.17237909492039
45,0.16031136072012947
46,0.1484798377795186
47,0.1466282403395902
48,0.13748773748825197
49,0.13642654565670742
50,0.12723361879101297
51,0.12308867833531227
52,0.09375582658115045
53,0.08742129170058746
