,output_layer
0,inf
1,3476.461377884088
2,2.0503749614082527
3,1.2132089053560544
4,1.0277073399320447
5,1.0128433861683495
6,0.5851264852087082
7,0.47388533196859284
8,0.3880960890896716
9,0.3491041633217172
10,0.3129668882565786
11,0.3113171535500073
12,0.3077816675332638
13,0.30723727611685464
14,0.29465992885671644
15,0.2894379253460863
16,0.28925910382356035
17,0.2892071297321203
18,0.2891179893409587
19,0.2891098278138733
20,0.2890940504145679
21,0.2873590686778625
22,0.2833946770267648
23,0.2741319084976299
24,0.2726386232197927
25,0.26806706204306835
26,0.26726363697387234
27,0.2625798675189428
28,0.2623382880152783
29,0.2604537096898736
30,0.24728289919086946
31,0.24249319809344816
32,0.22903045233878705
33,0.21795751692407786
34,0.21649720678401946
35,0.21615056256537032
36,0.2148592740633229
37,0.21482075934062853
38,0.2089673218850995
39,0.20857395184914265
40,0.20529494408102983
41,0.1863696660958509
42,0.18576433942831902
43,0.17299740000933564
44,0.1729752828050508
45,0.16823688216285723
46,0.16768411673711292
47,0.16559948877686861
48,0.16482171506098248
49,0.1550523764763678
50,0.14003001591699935
51,0.13748773748825197
52,0.12884699066660987
53,0.12227529382934246
54,0.11795006724956981
55,0.1159148597988086
56,0.11493390849021139
57,0.10996187178360092
58,0.10541521679197288
59,0.09900904383957315
60,0.09628364048524983
