,hidden_layer
0,inf
1,3.160969654884665
2,0.7197790087679711
3,0.7192144334915843
4,0.7186481754477432
5,0.717001712419259
6,0.7167375140457359
7,0.6964049347890123
8,0.6003367004696354
9,0.24393809690017082
10,0.23422675701256288
11,0.21834695594446898
12,0.20877234777105066
13,0.20604639186035772
14,0.19372393164982987
15,0.1814314362135111
16,0.17402867263269464
17,0.1698318504577856
18,0.16351344186773747
19,0.1455346793918329
20,0.1395398915895285
21,0.13242962947100165
22,0.1289043635544883
23,0.12868991518561324
24,0.12749695480929354
25,0.12312685536050401
26,0.11263210222144533
27,0.10563892945774511
28,0.10155502154940606
29,0.10101280271519418
30,0.09197584281163741
31,0.09083968010960945
32,0.06840091160956945
33,0.06391613817115249
34,0.06378671257133359
35,0.061374733585733886
36,0.06024380001166916
37,0.059786027774452195
38,0.059575346604620306
39,0.03956759395535658
40,0.039379176336616674
41,0.03918146244103189
42,0.03855245147868169
43,0.038544106576571015
44,0.03632033884386525
45,0.035936830997603496
46,0.035927994506742
47,0.035920047761002306
48,0.035193007198020716
49,0.035158916440720424
50,0.0324407914135337
51,0.031772512115070435
52,0.03158024332583079
53,0.03155930458586235
54,0.031231625965590277
55,0.031099981480897484
56,0.030828529602426425
57,0.03046210597888687
