,output_layer
0,inf
1,15012.152151378588
2,3.6080369606430613
3,0.6384292803330558
4,0.6356186975109284
5,0.27505155935874886
6,0.2629600592646171
7,0.2558889177173393
8,0.22424361388582972
9,0.19812055786761773
10,0.19794786503196032
11,0.19782193674728574
12,0.19776549338528848
13,0.18362355725497032
14,0.17640603438199978
15,0.16948236833024147
16,0.1553583982014196
17,0.14592099580333726
18,0.14557336227556214
19,0.12817612395521635
20,0.12526316338086013
21,0.12160235069467566
22,0.11594776929098986
23,0.11041928440101213
24,0.09768990411762178
25,0.09616998270722082
26,0.09537792102725626
27,0.09427545064496312
28,0.08757797491679385
29,0.07000745930302757
30,0.06988194595828323
31,0.06887702876763899
32,0.06796773850205537
33,0.0670176715150282
34,0.06015826035824926
35,0.057855535608673195
36,0.05717342569603884
37,0.03918146244103189
38,0.03883051456029719
39,0.03821581293394066
40,0.03627593736124546
41,0.035927994506742
42,0.0359191870949081
43,0.035316905005558466
44,0.03518624829185724
45,0.0351636518810369
46,0.03449340244930061
47,0.034176096491029206
48,0.03401954968901726
49,0.0332297793391254
50,0.03306537699563074
51,0.03198819229821355
52,0.031126174686205463
53,0.031067839368001365
54,0.03105385076584996
