,topology
0,inf
1,3.171916867480687
2,0.28911226295833004
3,0.27232410170349247
4,0.22891549871786046
5,0.22829693017886202
6,0.22615431814197634
7,0.22418570933281265
8,0.2238973959008696
9,0.20631606139265665
10,0.20518950906366915
11,0.20465766241764877
12,0.20371063985331253
13,0.17665457037978574
14,0.17613238619559415
15,0.17583202596684794
16,0.17464326788893683
17,0.1734803397037611
18,0.1479107488581413
19,0.14664122725049542
20,0.14652862632863523
21,0.1449463039811224
22,0.13675247113501227
23,0.1357015771000784
24,0.13517571210437557
25,0.13263634644416555
26,0.12798604115054524
27,0.12647687927006845
28,0.12505150931339665
29,0.1243795446345578
30,0.12233050376186783
31,0.1148217697032665
32,0.10680914653850328
33,0.0744861974534551
34,0.06820504504590623
35,0.06737874076376453
36,0.06666539975004333
37,0.06565391393694694
38,0.06433525364863003
39,0.06296405706181184
40,0.058951631909106135
41,0.03918146244103189
42,0.035927994506742
43,0.03518624829185724
44,0.03401954968901726
45,0.03392272023883776
