,weights
0,inf
1,3.1796851266455306
2,3.1608952626665974
3,0.2891123628884996
4,0.25928720646101516
5,0.25272633784911663
6,0.24476265758161928
7,0.24316013859077068
8,0.24072045873457673
9,0.21770442199808512
10,0.21056217045714828
11,0.206265821401794
12,0.20384401647560274
13,0.19593969559480273
14,0.19146617604799188
15,0.17507260961813095
16,0.1750529889878348
17,0.1649816954146988
18,0.1608754231486892
19,0.15835716104040448
20,0.14868577548018408
21,0.14394654635804216
22,0.14254041102561624
23,0.12053756291255786
24,0.11757354509562408
25,0.11622882261355369
26,0.10640383467141702
27,0.10565559911052784
28,0.10523955793977925
29,0.1024358904198927
30,0.10173427490488654
31,0.10171668815238342
32,0.09886980767561922
33,0.08873828940551928
34,0.06749253812803722
35,0.06718692341479701
36,0.06594754029188363
37,0.06562776096938257
38,0.06372883818136263
39,0.059754821655285034
40,0.05760733617885439
41,0.057237537249267674
42,0.05620080466155145
43,0.05589123272002355
44,0.05377351954706144
45,0.03857993749044998
46,0.03791919004191847
47,0.036546362545215504
48,0.035927994506742
49,0.03547151834451548
50,0.0351744062540207
51,0.035173120914691706
52,0.031781360989370976
53,0.03171525866269415
54,0.03139144626217071
55,0.031236907352928053
