,model
0,inf
1,0.7438231392182532
2,0.7438227699579258
3,0.31747049789483284
4,0.3125862114989082
5,0.30633927121306126
6,0.30631327664014396
7,0.2191590360107915
8,0.20036502869320524
9,0.18658323036152935
10,0.15762670635295226
11,0.1519288905524697
12,0.13536182731761895
13,0.13477360689788492
14,0.12068781177142492
15,0.10340566384456283
16,0.09877504157590482
17,0.07497456177616173
18,0.06640964856199141
19,0.05407812012278116
20,0.05272874494232841
21,0.047414554446512915
22,0.043704553352028525
23,0.04366293687594773
24,0.04205863229373677
25,0.03876775249025568
26,0.037777598895144746
27,0.037558090927310196
28,0.03742423448890207
29,0.037292249136438145
30,0.03686043283362949
31,0.03655601480492623
32,0.03518423598818405
33,0.03513497763567655
34,0.03461166190050413
35,0.033035130884955875
36,0.03276297927587219
37,0.03208960469305698
