,hidden_layer
0,inf
1,2.0749347985037674
2,2.0748162112530597
3,2.0748160267291182
4,2.074815648269088
5,0.3966502170682319
6,0.39645093461110525
7,0.39230499808102026
8,0.3820105997411822
9,0.3757139955397633
10,0.3481222533289405
11,0.33763635836341943
12,0.336761391312882
13,0.329262256035986
14,0.319837944750437
15,0.3187813753339619
16,0.3179922526618565
17,0.3169063136418264
18,0.3167914005738477
19,0.3156623649426375
20,0.31479627853007797
21,0.31329976756224553
22,0.31329885460478585
23,0.31188221479025496
24,0.31187867605071684
25,0.3118763562006718
26,0.31187525623821016
27,0.31186248587551485
28,0.3118600254743772
29,0.3118595182754895
30,0.2972581679027144
31,0.2952170924351642
32,0.2723617538618678
