,model
0,inf
1,2.0927007519671994
2,2.074815038675229
3,1.1838364741327547
4,1.1835817326743976
5,0.8482167338321103
6,0.31666763540944887
7,0.31652631912498247
8,0.31565705897884383
9,0.31565358812786415
10,0.3147082490887724
11,0.3146790922116362
12,0.31467906247788385
13,0.31467899573347574
14,0.3146789518939206
15,0.31442484634418705
16,0.3138058860940667
17,0.3137924825937469
18,0.3137899920468867
19,0.3119794501408517
20,0.3119448711937533
21,0.3118842189866171
22,0.3118830203067711
23,0.3118770097471848
24,0.31187482952151635
25,0.31185864039097205
26,0.31180643142728687
27,0.30166699194861735
28,0.2999034162027722
