,output_layer
0,inf
1,0.7221272579124509
2,0.4536716540422697
3,0.4533853169809595
4,0.453105647699776
5,0.43789310568606515
6,0.3285347764727022
7,0.3132214685622427
8,0.3129351964732706
9,0.31238553030856764
10,0.3121985249346735
11,0.31188402932980364
12,0.31188382516238744
13,0.31188290198213725
14,0.3118794120709085
15,0.3118625411502279
16,0.31186134918132896
17,0.3118613308947861
18,0.3118441901132822
19,0.3118353592223172
20,0.31159102534169014
21,0.3115718814119003
22,0.31014887631678323
23,0.30008316314074496
24,0.28960398523929964
25,0.28954628747332156
26,0.28454270409413274
