,topology
0,inf
1,2.074815038675229
2,1.1839666141483134
3,0.7646183302251686
4,0.7645717864575625
5,0.7643935331981415
6,0.4872224995155322
7,0.4639153847753172
8,0.3149653526472189
9,0.31426561158712296
10,0.3119294065568376
11,0.3119263039782304
12,0.31192569741767173
13,0.31188474672017663
14,0.3118839219251716
15,0.3118697155643769
16,0.3118483185270337
17,0.31182557391876026
18,0.3118178709351178
19,0.3118049238336987
20,0.311650079920507
21,0.31151774652330994
22,0.30418398044497047
23,0.30097099244044073
