,hidden_layer
0,inf
1,1.0386990836725665
2,0.7766827312319297
3,0.7761784319342306
4,0.7641251712396595
5,0.7095073156366839
6,0.6242281043855278
7,0.5556052832204308
8,0.5406593281975767
9,0.5350437349523313
10,0.5322638539567832
11,0.5299965243930834
12,0.5228286050214788
13,0.5004311901241731
14,0.4604920293282566
15,0.45722865230651605
16,0.43301587629186655
17,0.32272008654064155
18,0.31678664486169344
19,0.3166371662885634
20,0.3165635474946023
21,0.316483488097618
22,0.31647316570257
23,0.31647107325674523
24,0.31646808776700297
25,0.3164671866228067
26,0.31627309784419627
27,0.31611457749911
28,0.31594276735995014
29,0.31580075190903406
30,0.3151531994803237
31,0.3148184661685025
32,0.31480848971787334
33,0.3147866225325684
34,0.31469351926286804
35,0.31451449444860136
36,0.3138835175508037
37,0.31380935237851515
38,0.3137863193291831
39,0.31377594573410655
40,0.31358879029578
41,0.3134488951577686
42,0.31167645118935405
43,0.3103671222232661
44,0.31036126269838415
45,0.3103500065148327
46,0.31021160410745224
47,0.30797967342335486
48,0.3078468894097318
49,0.30761909989053254
50,0.3074232663183833
51,0.3034175768062312
52,0.3031551094553402
53,0.3022364948579298
54,0.2982651495094956
55,0.29787345272322985
