,topology
0,inf
1,1.2333170141685832
2,0.7628081168212808
3,0.5129863798559248
4,0.5004598563339584
5,0.5003795370146166
6,0.5003767196984169
7,0.5003510035982566
8,0.3224801086121595
9,0.3222795045575736
10,0.31678664486169344
11,0.3167288337163871
12,0.3167288334899865
13,0.31672883331161267
14,0.3167288289670295
15,0.3165597965086351
16,0.3164737000164255
17,0.3164671866228067
18,0.3164158115190984
19,0.3164122045563868
20,0.3164116273016853
21,0.3164061877880211
22,0.31632512980887123
23,0.3138825304179132
24,0.3138402553447724
25,0.31363015036328246
26,0.3103863020628933
27,0.308108002301357
