,best_cost
0,0.3187040580862286
1,0.3172301812721969
2,0.3172301812721969
3,0.3171814452336609
4,0.3171814452336609
5,0.3171814452336609
6,0.3171814452336609
7,0.3171814452336609
8,0.3171814452336609
9,0.3171814452336609
10,0.3171814452336609
11,0.3171814452336609
12,0.3171814452336609
13,0.3171811923970819
14,0.3171811923970819
15,0.3171811923970819
16,0.3171811923970819
17,0.3171811923970819
18,0.3171670339566621
19,0.31716648584228235
20,0.31716648584228235
21,0.3171626034806645
22,0.31716260343594094
23,0.3171625979183283
24,0.3171625979183283
25,0.3171625979183283
26,0.3171625979183283
27,0.3171625979183283
28,0.3171625979183283
29,0.3171625979183283
30,0.3171625979183283
31,0.3171625979183283
32,0.3171529135388229
33,0.31685336469021047
34,0.31685336469021047
35,0.31685336469021047
36,0.31685336469021047
37,0.31685336469021047
38,0.31685336469021047
39,0.31685336469021047
40,0.31685336469021047
41,0.31685336469021047
42,0.31685336469021047
43,0.31685336469021047
44,0.31685336469021047
45,0.3167508214690321
46,0.3167508214690321
47,0.3167508214690321
48,0.3167508214690321
49,0.3167508214690321
50,0.3167508214690321
51,0.3167508214690321
52,0.3167508214690321
53,0.3167508214690321
54,0.3167508214690321
55,0.3167508214690321
56,0.3167508214690321
57,0.3167508214690321
58,0.3167508214690321
59,0.3167508214690321
60,0.3167508214690321
61,0.3167508214690321
62,0.3167508214690321
63,0.3167508214690321
64,0.3167508214690321
65,0.3167508214690321
66,0.3167508214690321
67,0.3167508214690321
68,0.3167508214690321
69,0.3167508214690321
70,0.3167508214690321
71,0.3167508214690321
72,0.3167508214690321
73,0.3167508214690321
74,0.3167508214690321
75,0.3167508214690321
76,0.3167508214690321
77,0.3167508214690321
78,0.3167508214690321
79,0.3167508214690321
80,0.31584842644418953
81,0.31584842644418953
82,0.31584842644418953
83,0.31584842644418953
84,0.31584842644418953
85,0.31584842644418953
86,0.31584842644418953
87,0.31584842644418953
88,0.31584842644418953
89,0.31584842644418953
90,0.31584842644418953
91,0.31584842644418953
92,0.31584842644418953
93,0.31584842644418953
94,0.31584842644418953
95,0.31584842644418953
96,0.31584842644418953
97,0.31584842644418953
98,0.31584842644418953
99,0.31584842644418953
