,model
0,inf
1,1.007520435096588
2,1.007354209060418
3,0.3270715112986571
4,0.32682993275081496
5,0.3259137015473358
6,0.31895613270137724
7,0.31895578671324454
8,0.3177958471041298
9,0.31749468222604676
10,0.31749197933519385
11,0.3151099578515718
12,0.31510803024370293
13,0.3140278099567343
14,0.3127090899636802
15,0.3126722779722383
16,0.3111865694140598
17,0.3111246006212301
18,0.3110381033637565
19,0.3109350786653958
20,0.3108532015036093
21,0.3105682701395612
22,0.3095505401487241
23,0.3093254168447126
24,0.30528371390971254
25,0.3048891191262764
26,0.30481346541439613
27,0.3017500426006777
28,0.3015574226477563
29,0.300650264978411
30,0.3003428139932201
31,0.29700217687496583
32,0.29700170306549606
33,0.2969633822888575
34,0.29619660843977164
35,0.29604401406527503
36,0.2958852832010817
37,0.2918307144313133
38,0.29179368605154854
39,0.2915548825309819
40,0.2912841158225674
41,0.26366007576121403
42,0.257102806007509
43,0.256259639100428
44,0.2522737785963997
45,0.2516645295963925
46,0.24946515583602916
47,0.2235003484724907
48,0.22103766705244335
49,0.21604060903679342
50,0.21371807598651865
51,0.21288025215196466
52,0.21241218483938892
53,0.21229894098256905
54,0.21200307113686617
55,0.20907059003797424
56,0.19346301066800542
57,0.19258133302862063
58,0.18609534768739547
59,0.18138945641288506
60,0.17731065115076342
61,0.17163952719416503
62,0.1703897370702142
63,0.1667836294203236
