,output_layer
0,inf
1,69421.61918981338
2,1.654568499115608
3,1.177332132901081
4,1.0870966796279646
5,0.968955154265892
6,0.8884744633267164
7,0.41210380818430514
8,0.38606040567108274
9,0.36773393976999236
10,0.36609103409841354
11,0.3502939052279024
12,0.31951600533504276
13,0.3177958471041298
14,0.31777798398785495
15,0.31749468222604676
16,0.3168447652891671
17,0.31528262956797043
18,0.3146221999341033
19,0.31461059648440093
20,0.31298596251914357
21,0.3126910268287305
22,0.31234706480161933
23,0.3113185907467773
24,0.3109972035074341
25,0.3108579844558724
26,0.31045083819511154
27,0.3098630736500246
28,0.3095949436514906
29,0.30938852404507067
30,0.3093846636928991
31,0.30925251986246743
32,0.309197783061531
33,0.30900166421872766
34,0.3052418126571626
35,0.3050104937804459
36,0.3049704551914367
37,0.3048724467824394
38,0.3047681637202321
39,0.3047659608974289
40,0.30423043299973634
41,0.3039501759697648
42,0.30217516003025574
43,0.30167806286685267
44,0.3010957605644611
45,0.3010018703644761
46,0.30098144066824173
47,0.30025234324720496
48,0.29843839584718007
49,0.2977500405189677
50,0.2974872084997019
51,0.29676360817305425
52,0.29675443218608455
53,0.29663020234615883
54,0.29654579159095157
55,0.29605060973441144
56,0.29575655312906424
57,0.295749598658469
58,0.2933452950092111
59,0.29133102362577945
60,0.2708772601895272
61,0.2659137874338542
62,0.2658857610491501
63,0.2641189524778891
64,0.2641020290644042
65,0.2635920919169135
66,0.2626468259988114
67,0.257326171214097
68,0.257102806007509
69,0.2570078450698674
70,0.2516457641512555
71,0.2498771437288974
72,0.24238044513485416
73,0.23648760681943734
74,0.23601697004700728
75,0.22331118835992408
76,0.221844535875485
77,0.22076850979873172
78,0.22054382250415158
79,0.2162684828663893
80,0.21604060903679342
81,0.21575473350308602
82,0.21549340219535357
83,0.21529842028332885
84,0.2127071539386417
85,0.21221420702911767
86,0.2054318748782573
87,0.2013488058094636
88,0.19346301066800542
89,0.1931890868262937
90,0.18935641945432777
91,0.18609534768739547
92,0.18440138572047182
93,0.1813222424223609
94,0.18074118865604094
95,0.17731065115076342
96,0.17724294240293284
97,0.17688654171241
98,0.17471199330676707
99,0.170834875312578
100,0.1705382549317572
101,0.16573148174846972
102,0.16569348389715083
103,0.165628659384963
104,0.15881975947504218
