,output_layer
0,inf
1,0.34996318783
2,0.300550225749
3,0.295414537433
4,0.287639622551
5,0.287598231817
6,0.287545460448
7,0.28742912076
8,0.286974076854
9,0.286436600428
10,0.286162131208
11,0.285978518583
12,0.285949212807
13,0.28530637378
14,0.284864151562
15,0.284822390285
16,0.284779503359
17,0.284741465855
18,0.284427744875
19,0.284346902613
20,0.284346501814
21,0.284228919637
22,0.284222007241
23,0.283879320171
24,0.282880869493
25,0.282722005148
26,0.282026632836
27,0.281847118237
28,0.281790686098
29,0.280430209892
30,0.280069822712
31,0.279230477429
32,0.27878538416
33,0.27868838465
34,0.27809995943
35,0.278095485565
36,0.27698931716
37,0.275668536616
38,0.275561079399
39,0.273457586995
40,0.273281039277
