,topology
0,inf
1,0.346360005615
2,0.312247608075
3,0.30702960048
4,0.307025583721
5,0.305299209504
6,0.305094504837
7,0.298411428341
8,0.298200184168
9,0.29396173772
10,0.291257860353
11,0.291251590365
12,0.290035494479
13,0.290002111988
14,0.289974616396
15,0.289888011858
16,0.289877198284
17,0.289876124973
18,0.289871700263
19,0.289868363106
20,0.289567964394
21,0.289238148764
22,0.289223058213
23,0.289130294387
24,0.289103504412
25,0.289066286512
26,0.289053166408
27,0.288987344325
28,0.288982385722
29,0.288933813357
30,0.288881403623
31,0.28883659434
32,0.288820099821
33,0.288747595112
34,0.288641464439
35,0.288589096382
36,0.288534841442
37,0.288531322736
38,0.288156830605
39,0.287745622047
40,0.287703265472
41,0.287675174203
42,0.287670766178
43,0.28763398036
44,0.287213567121
45,0.287157190536
46,0.28713565953
47,0.287084181213
48,0.286934348756
49,0.28681856206
50,0.286503132218
51,0.286405908768
52,0.286309055941
53,0.286232463154
54,0.285395677374
55,0.285184722966
56,0.284484316968
57,0.284409045331
58,0.283550304973
59,0.283455058687
60,0.283121084492
61,0.282887191528
62,0.281860088473
63,0.279751737478
64,0.278095485565
65,0.272848637591
