,weights
0,inf
1,0.346344443472
2,0.34632948096
3,0.346299200043
4,0.345629373508
5,0.345492690359
6,0.345250462984
7,0.344184555656
8,0.31230834643
9,0.312308279262
10,0.312292534853
11,0.298315225767
12,0.298204794084
13,0.298200184168
14,0.298187853105
15,0.298074923035
16,0.29798037454
17,0.297056517508
18,0.296724594655
19,0.291744654384
20,0.291587617756
21,0.290744309643
22,0.290734771002
23,0.290706418814
24,0.290656356691
25,0.290646899584
26,0.290603042342
27,0.290591304539
28,0.290174785747
29,0.290089970918
30,0.290046444195
31,0.290046317149
32,0.290041361298
33,0.290019405276
34,0.289826445832
35,0.289784986146
36,0.289783474894
37,0.289625616719
38,0.289622003253
39,0.289595409237
40,0.289579062436
41,0.289573794112
42,0.289554223216
43,0.289321788402
44,0.289290179188
45,0.289270296233
46,0.289188526912
47,0.289153573215
48,0.289117418747
49,0.289085293261
50,0.289078566975
51,0.289036794787
52,0.289000797592
53,0.288907997413
54,0.28881707932
55,0.288772339895
56,0.288714346235
57,0.288699311252
58,0.288510732009
59,0.288289700076
60,0.288241125389
61,0.288203686872
62,0.288115113855
63,0.287929877631
64,0.287852985876
65,0.287532305741
66,0.287369561957
67,0.287136385182
68,0.287085459898
69,0.286767706929
70,0.286745167296
71,0.286714247298
72,0.286686216311
73,0.28657064643
74,0.285909276701
75,0.285781853678
76,0.285619743773
77,0.285614361736
78,0.285552616385
79,0.285144679518
80,0.285007644258
81,0.284679965044
82,0.284316119142
83,0.283961021985
84,0.283903976724
85,0.282707453747
86,0.282462834548
87,0.281855965571
88,0.281810123436
89,0.281727661253
90,0.281565418423
91,0.280369512171
92,0.280311119745
93,0.280282793488
94,0.28000232924
95,0.279985511164
96,0.279073955346
97,0.27881685846
98,0.278646629252
99,0.278577332033
100,0.278524791637
101,0.277955114602
102,0.277939964206
103,0.277139111605
104,0.276908532994
105,0.276552629913
106,0.270851590465
107,0.270072600885
