,hidden_layer
0,inf
1,3.90207180378
2,2.94341499064
3,2.34853267324
4,2.25159115267
5,2.17330712946
6,1.83350974767
7,1.83350974684
8,1.83350971037
9,0.895824118758
10,0.336093619905
11,0.328980264828
12,0.310648352148
13,0.278064880489
14,0.277527748533
15,0.277080993753
16,0.276301707468
17,0.275126554118
18,0.274830368168
19,0.274782796261
20,0.274446768186
21,0.273744112094
22,0.273622210178
23,0.271293540676
24,0.268051357284
25,0.267969339669
26,0.26780134206
27,0.265198490468
28,0.265009373531
29,0.265006776362
30,0.264950640503
31,0.264362142477
32,0.264099804165
33,0.260226747948
34,0.260218420378
35,0.259683382265
36,0.258983322966
37,0.256625392682
38,0.254823510229
39,0.254822446437
40,0.253499478747
41,0.251367976956
42,0.250595425426
43,0.249799370211
44,0.249734656665
45,0.248996754175
46,0.248918817464
47,0.248843467454
48,0.248189155546
49,0.248077589677
50,0.247058308549
51,0.246917669945
52,0.24476687421
53,0.244580296177
54,0.243487312617
55,0.242552574032
