,model
0,inf
1,5.93204598778
2,5.92884521668
3,4.17135147372
4,4.16847837846
5,4.16386701081
6,0.513948988799
7,0.430391516782
8,0.296152468097
9,0.295618092047
10,0.291807994651
11,0.291797250138
12,0.291785354787
13,0.290598625893
14,0.290212305443
15,0.290197396812
16,0.289913349786
17,0.289854835989
18,0.289829880615
19,0.289767908157
20,0.289759689315
21,0.289710550643
22,0.289686244086
23,0.289676579757
24,0.289480810006
25,0.289389235841
26,0.287442336133
27,0.287135689169
28,0.287026550577
29,0.286275746157
30,0.286206859132
31,0.285442422666
32,0.285030715772
33,0.284818509981
34,0.284646470366
35,0.284331059947
36,0.28384048126
37,0.283428168085
38,0.282186348742
39,0.281681553165
40,0.281021660075
41,0.280633800638
42,0.280541602595
43,0.279665769178
44,0.277283537252
45,0.274842842053
46,0.273195819114
47,0.272007140899
48,0.26835548958
49,0.265006776362
50,0.260218420378
51,0.254666132887
52,0.25419394654
53,0.252777772448
54,0.248996754175
55,0.248953585058
56,0.248313286757
