,hidden_layer
0,inf
1,2.98567242198
2,2.74819662146
3,2.55692220101
4,2.54162583559
5,2.43382573915
6,2.41574393095
7,1.39140256988
8,0.405704100596
9,0.405703760045
10,0.394073670758
11,0.348507208782
12,0.272271196395
13,0.272174491145
14,0.272089788056
15,0.271998103757
16,0.271772064608
17,0.271449962742
18,0.27129447902
19,0.271292079822
20,0.271222360505
21,0.271145358599
22,0.271043076404
23,0.270951335564
24,0.270941593439
25,0.270913633087
26,0.270854966941
27,0.270840379991
28,0.270798066734
29,0.270691364831
30,0.270660758885
31,0.270528585524
32,0.270462749082
33,0.270433817548
34,0.270407314187
35,0.270379875694
36,0.270358665646
37,0.270357148514
38,0.270352790988
39,0.270345511437
40,0.270336203628
41,0.270331511539
42,0.270323871134
43,0.270323471807
44,0.270323065288
45,0.270322865707
