,model
0,inf
1,2.11951668239
2,0.630181812621
3,0.617399166133
4,0.327061134854
5,0.302947119483
6,0.30207059606
7,0.297354856382
8,0.294692858538
9,0.294676410706
10,0.291916835778
11,0.29176478252
12,0.288998081814
13,0.28845189264
14,0.279999309164
15,0.278685330041
16,0.278312129302
17,0.273496679147
18,0.272325344794
19,0.271460224111
20,0.271150342602
21,0.271001790415
22,0.27089076246
23,0.270433817548
24,0.270407314187
25,0.270379875694
26,0.270358665646
27,0.270357148514
28,0.270352790988
29,0.270345511437
30,0.270336203628
31,0.270328278747
32,0.270323871134
33,0.270322865707
