,topology
0,inf
1,2.25102858852
2,2.07507873762
3,1.88891056777
4,1.88042877737
5,1.75600429982
6,0.406331507227
7,0.337516644387
8,0.336896162758
9,0.336799187042
10,0.335331013798
11,0.335313545341
12,0.293055517696
13,0.292311606624
14,0.292252231194
15,0.292197605718
16,0.289413714306
17,0.28902303472
18,0.287866409643
19,0.279999309164
20,0.279979535216
21,0.27854742446
22,0.278407070298
23,0.278312129302
24,0.273496679147
25,0.273270876974
26,0.272423928283
27,0.272325344794
28,0.271381724555
29,0.27135339814
30,0.271150342602
31,0.271001790415
32,0.27089076246
33,0.270433817548
34,0.270407314187
35,0.270379875694
36,0.270358665646
37,0.270357148514
38,0.270352790988
39,0.270345511437
40,0.270336203628
41,0.270328278747
42,0.270323871134
43,0.270322865707
