,weights
0,inf
1,3.25854534856
2,3.2578821841
3,2.93799208424
4,2.79784856812
5,2.15602907781
6,1.86405959999
7,1.85962894976
8,1.80152839492
9,1.79612280357
10,1.74287698063
11,0.405619832442
12,0.404147677261
13,0.399489933069
14,0.379699027786
15,0.37840594209
16,0.321513258993
17,0.320664803652
18,0.319791591308
19,0.312898872486
20,0.306143538959
21,0.293025576969
22,0.292478658576
23,0.291978571096
24,0.291970128451
25,0.291809448181
26,0.290769488621
27,0.290410321377
28,0.288130287136
29,0.288070939555
30,0.284388259337
31,0.283513069556
32,0.282808460907
33,0.279809574572
34,0.269133793892
35,0.268095756312
36,0.267185906914
37,0.266869738075
