,output_layer
0,inf
1,0.377098680873
2,0.351814165716
3,0.323149199563
4,0.301606962181
5,0.301490870728
6,0.29695888826
7,0.295875968458
8,0.295649136236
9,0.295563599122
10,0.295286647199
11,0.295168257094
12,0.295147323334
13,0.293642643077
14,0.292890399727
15,0.292800380523
16,0.292588353581
17,0.292542155779
18,0.292476234303
19,0.29183645749
20,0.291548737411
21,0.291097973418
22,0.290770516406
23,0.289397747902
24,0.289356373681
25,0.288776322056
26,0.288618107343
27,0.287120073587
28,0.285915561616
29,0.284973297919
30,0.284732193088
31,0.283933308115
32,0.283750617615
33,0.283749086446
34,0.283661920879
35,0.281673756183
36,0.281333907671
37,0.27874671535
38,0.277780251663
39,0.277017799106
40,0.276483125063
41,0.275240869333
42,0.274130901139
43,0.273359291649
44,0.272783847756
45,0.26937689708
46,0.269073727905
47,0.268865137044
48,0.268688203792
49,0.267480286759
50,0.266053419712
51,0.26442101396
52,0.262818981206
