,output_layer
0,inf
1,0.355984721632
2,0.345876134458
3,0.337781327998
4,0.337596637034
5,0.33176181208
6,0.331300034413
7,0.33129545764
8,0.328151116717
9,0.322930911878
10,0.321213757908
11,0.320389602143
12,0.311894237368
13,0.296343957877
14,0.294803610027
15,0.294091805953
16,0.292894664502
17,0.292891693616
18,0.292166539971
19,0.291825990677
20,0.291789535302
21,0.291738609489
22,0.290545304997
23,0.290288792188
24,0.290218587185
25,0.290147525166
26,0.289435403657
27,0.289367752733
28,0.289278615855
29,0.288576476515
30,0.288554985135
31,0.288551246432
32,0.288244114648
33,0.288198980846
34,0.288079062184
35,0.287976647577
36,0.287703122341
37,0.287694656713
38,0.287486194068
39,0.287329948451
40,0.28674649655
41,0.285478205946
42,0.285068255415
43,0.28494009927
44,0.284724535904
45,0.284715187761
46,0.284049904435
47,0.283362320775
48,0.282870321382
49,0.28233476136
50,0.280376496683
51,0.278436024749
52,0.277351793331
53,0.276507217249
54,0.275714085532
55,0.275642561497
56,0.274989100004
57,0.274813261314
58,0.274759010539
59,0.274740822927
60,0.27429967975
61,0.27377169446
62,0.273580142327
63,0.273189079162
64,0.27315899776
65,0.272287916546
66,0.272064708704
67,0.270240639289
68,0.269657459463
69,0.268830872631
70,0.26847424136
71,0.26445260518
72,0.260736810937
73,0.258079417237
74,0.254717046406
75,0.254012054657
76,0.253745077945
77,0.251463631871
78,0.251423273432
79,0.250014264302
80,0.249509430034
81,0.24708370897
82,0.243871036083
83,0.243012322551
84,0.24172728668
85,0.240374110854
86,0.239222644745
87,0.239016084761
88,0.237907693811
89,0.236634554679
90,0.236117152808
91,0.235809289523
92,0.23327760161
93,0.233057877538
94,0.23261224291
95,0.231808688209
