,weights
0,inf
1,0.755089893145
2,0.73007618029
3,0.723639660133
4,0.716068349242
5,0.399334012578
6,0.355569788968
7,0.296237522875
8,0.295670264457
9,0.295223811042
10,0.294359202067
11,0.29422564579
12,0.292922744052
13,0.292812861659
14,0.292758721121
15,0.292733152055
16,0.29186771274
17,0.291641725307
18,0.291508617814
19,0.290263730493
20,0.290192373973
21,0.290036688513
22,0.289926007167
23,0.289333287797
24,0.28858070199
25,0.288528190969
26,0.288479744644
27,0.288394587362
28,0.288246077082
29,0.288024969687
30,0.2879788005
31,0.287864626221
32,0.287706981005
33,0.285694155959
34,0.285521284179
35,0.28531049585
36,0.285128753074
37,0.284982945686
38,0.284836692822
39,0.284797566691
40,0.284303685935
41,0.284212835479
42,0.283592911941
43,0.283469876107
44,0.283038522366
45,0.282897236854
46,0.282386504746
47,0.282241966713
48,0.282131965717
49,0.282129818899
50,0.282098021942
51,0.280741323816
52,0.280589950521
53,0.280123498646
54,0.279816968542
55,0.279670203558
56,0.279660762595
57,0.278236052803
58,0.278090415824
59,0.277969836786
60,0.277681956744
61,0.277336170756
62,0.277251331152
63,0.276919483597
64,0.276889752903
65,0.276764364962
66,0.276658540356
67,0.276335612383
68,0.276166989699
69,0.275552313341
70,0.27541545427
71,0.275242666684
72,0.274899904296
73,0.274895956356
74,0.274821478316
75,0.274662863528
76,0.274425805629
77,0.273870476071
78,0.273464799214
79,0.272637706159
80,0.272432273665
81,0.27097255115
82,0.260362957651
83,0.26021018769
84,0.257913901122
85,0.255590925049
86,0.253831142988
87,0.252855948179
88,0.251731396101
89,0.249406343192
90,0.249129790954
91,0.248808672653
92,0.243637501023
93,0.242572802219
94,0.24212140677
95,0.240149543691
96,0.239148329066
97,0.238652552192
98,0.23860055278
99,0.238549382755
100,0.236984774283
101,0.234125607691
102,0.233623259483
103,0.232928909001
104,0.230587549305
105,0.230305847731
106,0.229744586194
