,hidden_layer
0,inf
1,0.41637871081
2,0.416062870392
3,0.292734694642
4,0.290143025988
5,0.290138860708
6,0.288842096988
7,0.288840846498
8,0.288685680859
9,0.288499401883
10,0.288467432724
11,0.288401360832
12,0.288253931433
13,0.288114531276
14,0.28808508431
15,0.287687386911
16,0.286628440597
17,0.286354106407
18,0.284426904328
19,0.283612218521
20,0.282837808075
21,0.282176068531
22,0.281417153019
23,0.281367401973
24,0.280889854921
25,0.280327866585
26,0.280242574128
27,0.27995209307
28,0.279896440496
29,0.279657149919
30,0.279324518318
31,0.279135153158
32,0.278302096315
33,0.277920371993
34,0.275944041366
35,0.275518025322
36,0.274828176831
37,0.273889678302
38,0.273793630823
39,0.273736737428
40,0.273069790135
41,0.27265182616
42,0.272434026076
43,0.272402068696
44,0.27230465402
45,0.272278696734
46,0.270673974433
47,0.270615221897
48,0.270117102847
49,0.270026303014
50,0.269601748765
51,0.26766163053
52,0.265933208819
53,0.264975381324
54,0.263645071714
55,0.263461873215
56,0.260774619273
57,0.259593897543
58,0.255091553265
59,0.252574466902
60,0.251006280775
61,0.24787736247
62,0.247417381855
63,0.24633162255
64,0.245905954814
65,0.245662454939
66,0.243294462274
