,model
0,inf
1,0.430668713917
2,0.361060150397
3,0.361037182189
4,0.360748267088
5,0.360733985231
6,0.308495612227
7,0.296025874245
8,0.295932374701
9,0.295789298276
10,0.294901055941
11,0.294900825564
12,0.292474377309
13,0.292472290147
14,0.291603574003
15,0.29076248022
16,0.290285907304
17,0.288588552174
18,0.28849123181
19,0.285543537079
20,0.285404985013
21,0.28506910139
22,0.284896355575
23,0.284327058052
24,0.284201103449
25,0.284076224691
26,0.283648283578
27,0.282244074695
28,0.281977109153
29,0.281467033057
30,0.281139458205
31,0.280787107146
32,0.28056032942
33,0.279907808722
34,0.276462936746
35,0.276144475533
36,0.275621251544
37,0.275538720487
38,0.275487722669
39,0.275275321333
40,0.27310331224
41,0.27222592901
42,0.271964238856
43,0.271112980702
44,0.267661030386
45,0.267389440976
46,0.251879344013
47,0.251526710909
48,0.250233104097
49,0.24787736247
