,topology
0,inf
1,0.430096391377
2,0.429940002823
3,0.429809212727
4,0.429738212263
5,0.429718546241
6,0.31146463399
7,0.311444160092
8,0.295818786016
9,0.29553335889
10,0.29523370525
11,0.295201234518
12,0.290810612701
13,0.290589769459
14,0.290555279286
15,0.290553648867
16,0.28862734637
17,0.284915347915
18,0.284795120147
19,0.284690159704
20,0.28437246105
21,0.284276461064
22,0.28375122073
23,0.281578658046
24,0.281419874039
25,0.281396050185
26,0.280839200066
27,0.280015000317
28,0.279925750302
29,0.279906908932
30,0.279488556016
31,0.27642093423
32,0.275816950261
33,0.27558661036
34,0.2752505743
35,0.275216591448
36,0.274857686215
37,0.274808736405
38,0.27480763288
39,0.274457775024
40,0.273413734577
41,0.273043940866
42,0.272802140749
43,0.272146531758
44,0.271583362428
45,0.271522198253
46,0.271276116082
47,0.270366915042
48,0.269169323314
49,0.268150620831
50,0.267871917176
51,0.267566655711
52,0.266559857883
53,0.263777282927
54,0.24787736247
