,hidden_layer
0,inf
1,2.5619428439054
2,0.8042311606473838
3,0.7999540340338588
4,0.7992057751858097
5,0.7956559713026917
6,0.7948690825046297
7,0.7901115820518384
8,0.7788129035795722
9,0.604882074476501
10,0.5557710160128808
11,0.5175604092683961
12,0.5002159509873555
13,0.4688722024412945
14,0.46577617261378523
15,0.34314831565495696
16,0.34305581291576753
17,0.34274996802480645
18,0.34245307074632897
19,0.33440385237884396
20,0.3334487246606567
21,0.31574858982314297
22,0.31574855795164014
23,0.3157442629228176
24,0.3149026435849538
25,0.3141501334329181
26,0.3141500375747481
27,0.3112208488023313
28,0.3111980375764385
29,0.3110752011646501
30,0.3108342940720689
31,0.31049880062620105
32,0.3082596188941292
33,0.30775738926318835
34,0.30000351113369017
35,0.29875144191356345
36,0.2961749411635854
37,0.2917360067324021
38,0.29036858081987726
39,0.2897967028191653
40,0.28016759548480025
41,0.2792050880312563
42,0.26080456874053376
43,0.26028743487352474
44,0.25967822927442497
45,0.2593561300080324
46,0.25819116301484674
47,0.2579121083170913
48,0.2575265865307819
49,0.256809870152515
50,0.2478671376666559
51,0.23581690205711753
52,0.23488859915012372
53,0.23345368627857938
54,0.2281747414829739
55,0.2263061164531968
56,0.22556785046327174
57,0.22519483535807108
58,0.2249570852136665
59,0.22253159468311182
60,0.22048834035468282
61,0.22024916665903138
62,0.22003556448828987
63,0.2194636644553894
64,0.21942874860431108
65,0.21897134240647662
66,0.21847138852720127
67,0.2182428391440665
68,0.2176971384836217
69,0.2175572523897135
70,0.21748170561727798
71,0.21711944358475385
72,0.21708968500603293
73,0.2170775197833728
74,0.21696857416077636
75,0.21691849417808828
76,0.2168974346176018
77,0.21666468956207321
78,0.21664844059159546
79,0.21664653313241825
80,0.21660893015863614
81,0.21659988157403257
