,output_layer
0,inf
1,1.263036911670145
2,0.4596862485325546
3,0.45697102305330717
4,0.4417090280493991
5,0.4155132974702698
6,0.3479401999181399
7,0.33987788132328817
8,0.31802819245225683
9,0.31660255927886727
10,0.31607897838915033
11,0.31544135559871145
12,0.3152473321477524
13,0.3152468609718198
14,0.31506645060547034
15,0.3149101506864293
16,0.31427479795963575
17,0.3080185791802177
18,0.30549697698320866
19,0.3054520547887962
20,0.29741221962032177
21,0.28549802353380455
22,0.28489290589288474
23,0.28154751175780823
24,0.2813125777193699
25,0.2785576221204747
26,0.2784152438679697
27,0.2707417833340644
28,0.2704398438631088
29,0.2651126488123059
30,0.25847038115545684
31,0.2569604683148004
32,0.2548033914102266
33,0.25290131042723557
34,0.24660226894766055
35,0.24431970641238224
36,0.24096207186338217
37,0.2407099155803662
38,0.23382404983041413
39,0.2295209731006814
40,0.22920595512034128
41,0.228892920992943
42,0.2284041807103801
43,0.22838854142982012
44,0.22763180856171922
45,0.22721111797222454
46,0.2271771885520186
47,0.22716794735271909
48,0.22706699214940934
49,0.2270092759578939
50,0.22697528852268292
51,0.22664407280125917
52,0.22661905858043194
53,0.22659607814378233
54,0.22658593270183525
55,0.2261028924412206
56,0.22607703495251466
57,0.22602137991258675
58,0.22585435912992724
59,0.22575001817963036
60,0.22571290735901078
61,0.22570712391872272
62,0.22570008340027664
63,0.22447408439747776
64,0.2243794481893473
65,0.22420755014367694
66,0.22333275869394564
67,0.2232923397533654
68,0.2232870270001447
69,0.223168214322724
70,0.22296314840540662
71,0.2225894604524267
72,0.2224499558607486
73,0.22244364393216554
74,0.2223954457594994
75,0.22125174702466197
76,0.22124289423817328
77,0.2212233368440729
78,0.22122185169983677
79,0.2203911606689151
80,0.22034556940358976
81,0.21917374094209421
82,0.21903740703415447
83,0.21893787205995555
84,0.21885664430661136
85,0.21831140297372453
86,0.218212622559878
87,0.21818432176960467
88,0.21815905847275688
89,0.21812276445931195
90,0.21810565828564493
91,0.21803652535840481
92,0.21791467517184254
93,0.21790325116654075
94,0.21786985334465014
95,0.21783000506099093
96,0.21781737860367814
97,0.21777485791426024
98,0.21776943363216753
99,0.21775699251221645
100,0.21774403434232054
101,0.2177350781946732
102,0.21771426344701103
103,0.21770681161856012
104,0.21769594054811436
105,0.2176945993605263
106,0.2176930615980686
107,0.21767232631162367
