,model
0,inf
1,1.0749718535534218
2,1.0749699624928106
3,1.0749674607950297
4,0.418946350592318
5,0.4098818066662602
6,0.4098535124469062
7,0.3260273093868246
8,0.3253730001307021
9,0.32516231628770387
10,0.32491428338604045
11,0.31655225480035876
12,0.3128484246942302
13,0.30170018692971523
14,0.29531362978126435
15,0.2698154812211183
16,0.2674202477446111
17,0.2560288846658238
18,0.2401704987102162
19,0.23510530254525397
20,0.227462426364831
21,0.2236442340175212
22,0.22152988950465394
23,0.22147120700278838
24,0.22000687721211304
25,0.21968488334865888
26,0.217575806421434
27,0.21631006959153376
28,0.21581937315633454
29,0.21377547845503983
30,0.21107466999546035
31,0.2094241744260014
32,0.2091444775301239
33,0.20904034071213556
34,0.2089200554185517
35,0.20870167453889105
36,0.20864114797555763
37,0.20828625796488823
38,0.20826604947368416
39,0.20825407543566637
40,0.2081323261318577
41,0.20811736186163401
42,0.2077217170169797
43,0.20771189175103918
44,0.2076774939017167
45,0.20764568074993903
46,0.20740957426920575
47,0.20732414590844955
48,0.20709435866256978
49,0.20699728092421804
50,0.2069941176226628
51,0.20697596683776834
