,model
0,inf
1,0.6397101233193099
2,0.35673381053826825
3,0.3511507591789557
4,0.3323985996941912
5,0.31759611626880885
6,0.3168932222850889
7,0.31680031995611047
8,0.31659504882721884
9,0.3135638305050811
10,0.31296930053503313
11,0.3103246869516178
12,0.3099463471960669
13,0.2992578014181242
14,0.29061270010939116
15,0.2690817408360576
16,0.26475483609924344
17,0.2521150409259957
18,0.2508633466138635
19,0.24867028233018001
20,0.24690881344580645
21,0.24552182339924894
22,0.23842879783535117
23,0.23435039130299226
24,0.21986392556090456
25,0.21884355673927855
26,0.21579211332432283
27,0.21248343320487736
28,0.2116170299684131
29,0.2101791286543785
30,0.20941655103660015
31,0.20892884379611604
32,0.20887379462565678
