,output_layer
0,inf
1,947784.8423723913
2,472335.0850610115
3,472230.6723564556
4,472142.3422439928
5,471962.3076648721
6,471941.4555008181
7,3.1501966129505954
8,2.942732662332752
9,2.909105262344096
10,0.5418981624675264
11,0.49910160393501557
12,0.49066687425366273
13,0.4891636991524547
14,0.35047887497306507
15,0.3491192831069082
16,0.3485177391035686
17,0.33804596836541967
18,0.3362163924919511
19,0.3357258023575966
20,0.3323840131582719
21,0.31802016751579165
22,0.3170463991347288
23,0.316982950999239
24,0.3169144307277082
25,0.3169144264141622
26,0.316862751136645
27,0.3168388972999895
28,0.3168376915533915
29,0.3168144455530375
30,0.3167969850085089
31,0.31663402283284264
32,0.31585254699889637
33,0.31454293493416313
34,0.3135638305050811
35,0.31296930053503313
36,0.31202286489562925
37,0.3103246869516178
38,0.30792398632251555
39,0.30782039276121204
40,0.3051840029784215
41,0.3049592040587707
42,0.30135520643025365
43,0.2991904937924153
44,0.29914740441629983
45,0.299053841193089
46,0.2985684959908388
47,0.29610195814690865
48,0.29562219852285443
49,0.29052627184905605
50,0.269190337251098
51,0.266982556198896
52,0.2658747313113967
53,0.2590119442361166
54,0.25803678872481184
55,0.25570864655881737
56,0.2508633466138635
57,0.250467348762529
58,0.24806964920755148
59,0.24568715202738559
60,0.2391559882431072
61,0.23006739360026385
62,0.2271155405629937
63,0.21986392556090456
64,0.2188725835549623
65,0.21735024455171797
66,0.21250724619521444
67,0.21116300184530146
68,0.21007318698904334
69,0.2095746512948458
70,0.20941655103660015
71,0.20930394759614
72,0.209275076102239
73,0.2092695996064343
74,0.20923582895506596
75,0.20920649171991826
76,0.20915435997126955
77,0.20884152998639086
78,0.20881933399145827
79,0.20880298352284374
80,0.20879693884584097
