,hidden_layer
0,inf
1,1.8643813276029815
2,1.8462102011000119
3,1.7836607603240926
4,1.4539410687948668
5,0.49928492338235264
6,0.42636083728495455
7,0.4036329601299074
8,0.3916046831474005
9,0.36823966928097385
10,0.34989938891140493
11,0.3297171298150162
12,0.32968798394201754
13,0.3280405303503569
14,0.3211888787307596
15,0.32116819527108303
16,0.31435867607773654
17,0.314202948487802
18,0.3141543258983081
19,0.3139591330223962
20,0.3137563592850885
21,0.31372381215433975
22,0.3137210755723127
23,0.31371893266511186
24,0.3137160031116471
25,0.3117007788625102
26,0.31168041784703193
27,0.3116566685579478
28,0.31162851729120006
29,0.31158893627944384
30,0.31035641287420856
31,0.3103105890928435
32,0.31023131155050515
33,0.3101025147298759
34,0.3094927312528107
35,0.3094625754378817
36,0.3094275629749318
37,0.30893444428796984
38,0.30795041125882067
39,0.3078628254876469
40,0.3075290565724195
41,0.30724657869500477
42,0.3018605458418041
43,0.30116729915514334
44,0.3010886550134388
45,0.30006190236609626
46,0.2996602654017102
47,0.2993471099985805
48,0.2990256541917955
49,0.29886274208821767
50,0.2983636649038508
51,0.2978460573040166
52,0.29613734323816826
53,0.29417876999089626
54,0.29335067204264187
55,0.2896558163255942
56,0.28895986349761804
57,0.28770205783026226
58,0.28739517662302366
59,0.28547211354291463
60,0.2846274228198271
61,0.2842880538855364
62,0.28258071423372316
63,0.2815498051464838
64,0.28057599946702344
65,0.2804189501655967
66,0.2792502167603233
67,0.2792283571986145
68,0.27705962065873935
69,0.2684065893388684
70,0.2673669615661171
71,0.26730358892536615
