,model
0,inf
1,0.6855311922950651
2,0.3598106870425186
3,0.31950678238099284
4,0.3195060044829221
5,0.319449833453261
6,0.3187059893443784
7,0.3176702516023346
8,0.3176695869371858
9,0.31748009442967673
10,0.31746805579642373
11,0.3172824419018255
12,0.3172732781861806
13,0.31707513461424164
14,0.3170511540410687
15,0.3169139934566361
16,0.3167936232715257
17,0.31651163865852694
18,0.3159706612512835
19,0.31589916179440736
20,0.31589101076566495
21,0.31573187341654957
22,0.31555591842919634
23,0.31174832805134645
24,0.3115430253073501
25,0.3110781497515573
26,0.30969386116572195
27,0.309642184126824
28,0.3094898357685309
29,0.3081926040149406
30,0.3043127418736707
31,0.3040311084755854
32,0.30381701420508717
33,0.2995885410079609
34,0.2959005715978478
35,0.2916006469312373
36,0.2889716312954163
37,0.27699710091219876
38,0.27673170773433725
39,0.2763914916308269
40,0.2750607358136033
41,0.2710278834152497
42,0.265313805372173
43,0.25471287273417487
44,0.25330079687544
45,0.2447640985578585
46,0.24121621141345054
47,0.23797880658877948
48,0.2350598585129145
49,0.22663804948146202
50,0.21750698686533645
51,0.21749823745102698
52,0.21706282028762505
53,0.21056604977026003
54,0.19853647069836938
55,0.1863636988259828
56,0.18260088667900246
57,0.18251141993862482
58,0.1820560007890493
59,0.18081871466776864
