,output_layer
0,inf
1,0.6202883255853625
2,0.6188917739573175
3,0.6178620222026387
4,0.39537465899207175
5,0.38609465699786877
6,0.3858723979867175
7,0.3851478791423336
8,0.3602373388302918
9,0.36023430966997927
10,0.36019213752309526
11,0.3599872767623323
12,0.31975193859243284
13,0.3195060044829221
14,0.3170627232399585
15,0.3162691911345244
16,0.31587882140330487
17,0.3157174834813579
18,0.31548551958568405
19,0.3113680473671018
20,0.31081491737280836
21,0.3102421336820808
22,0.3101083531552099
23,0.3099982090180937
24,0.3099221954912978
25,0.3091480765408421
26,0.3089635266709256
27,0.30878370934728444
28,0.30810039762235947
29,0.3024270268000903
30,0.30193014140697244
31,0.3017506242584409
32,0.3002288025020895
33,0.29881146426548927
34,0.29799393178301586
35,0.29012282272652573
36,0.2871209338928108
37,0.28678320696767573
38,0.28655142994745664
39,0.280097409198424
40,0.27670236831260653
41,0.2752618343518481
42,0.2750644392643671
43,0.2716377073371173
44,0.264236914366177
45,0.26187614924241914
46,0.25471287273417487
47,0.25113085634423477
48,0.2455037955941862
49,0.24509107095246904
50,0.2447640985578585
51,0.24366041205798278
52,0.24211301084920914
53,0.24121621141345054
54,0.2409601852977235
55,0.23826604316210856
56,0.23769986950723399
57,0.23685791450319046
58,0.23677884708229313
59,0.23570381420157624
60,0.23438469822517113
61,0.23422585579271277
62,0.22836772125177893
63,0.2235598392815122
64,0.215515159997613
65,0.21424963753211304
66,0.21417469102110603
67,0.2137730872290462
68,0.21243172638753705
69,0.21124902179814609
70,0.20722023222948674
71,0.1990372307835691
72,0.19663731077769903
73,0.18818900883697723
74,0.18327180150746747
75,0.17976191611165193
76,0.17959869800691602
