,hidden_layer
0,inf
1,0.3881776001263148
2,0.37685841520149815
3,0.36967976065929936
4,0.3430175892222253
5,0.3402212944174901
6,0.33978476258707374
7,0.33841690659293533
8,0.3185489560638083
9,0.3175372512397414
10,0.3173011190114787
11,0.3172162101641031
12,0.31703741165945126
13,0.31702398842596713
14,0.3169386313891514
15,0.3165630711608909
16,0.31639148010192275
17,0.3142697397219386
18,0.30477871835257225
19,0.30217173053983265
20,0.3018018650614349
21,0.30062339910339997
22,0.2957200882971453
23,0.2957071585909714
24,0.2945107583352417
25,0.2944881527932494
26,0.2944847540492898
27,0.29432891108651826
28,0.2940492178035519
29,0.2851702889817642
30,0.28472334762613755
31,0.2827109608188102
32,0.27372837985153864
33,0.27265686199285316
34,0.2722483195799091
35,0.2516499812593548
36,0.2516215961203795
37,0.25021528403409593
38,0.24950790398345168
39,0.24913356992087293
40,0.2388211257551601
41,0.23415760135628466
42,0.22511198418349282
43,0.22412261366575945
44,0.2240859586974165
45,0.22401777014566704
46,0.2224061497050818
47,0.22190880431631577
48,0.2212481972535639
49,0.22049610318172022
50,0.2164444749328612
51,0.21584028614419584
52,0.2155442787309481
53,0.21489085842034533
54,0.21488917819013917
55,0.21331629406789987
56,0.21308995840456738
57,0.21224446727019833
58,0.21185832025481607
59,0.21164728282351056
60,0.21159707419661578
61,0.20758875504447225
62,0.20737889343187754
63,0.20737417554390022
64,0.20723244811421787
65,0.2056995546607396
66,0.20542493244845528
67,0.2052269367448289
68,0.20503096584652164
69,0.20497035116128406
70,0.20488669710968088
71,0.2036682181693008
72,0.20365451974912543
73,0.20356878248415525
74,0.20354850427334545
75,0.20328155599713477
76,0.20316279262905876
77,0.20270556233800957
78,0.20255448665290815
79,0.20228127147690386
80,0.2020783223519501
81,0.201809340517974
82,0.20116206576983597
83,0.2007668382312812
84,0.20056357223598606
85,0.20030850703885442
86,0.20022968906617103
87,0.20018304397910683
88,0.20018304376854407
89,0.19998399326204788
90,0.19996280030828834
91,0.19977490027815514
92,0.1993592664415465
93,0.19905421574123572
94,0.19865621829891555
95,0.19849778637692317
96,0.19830481643875017
97,0.19800609046984885
98,0.19800252878542515
99,0.1974336113762839
100,0.1973452089206363
101,0.19730512760597013
102,0.1971506907679
103,0.19715002938881407
104,0.197138746507236
105,0.19696561820219202
106,0.1968228434466704
107,0.19665573368657246
108,0.19654955785131853
109,0.19644774923799233
