,model
0,inf
1,0.60455841720525
2,0.603965260970613
3,0.6026031794130969
4,0.6014136846682776
5,0.3468214676751949
6,0.34680281254301254
7,0.34672898761210547
8,0.32587602288081463
9,0.32587482481245195
10,0.3258737051240284
11,0.32586305275507854
12,0.3245257265247011
13,0.3245228987458379
14,0.31898064818342525
15,0.3177525864082984
16,0.31775258342917934
17,0.31709169125591397
18,0.3170916911702403
19,0.31709168947453653
20,0.3170916885179346
21,0.317073470548347
22,0.31707340899598235
23,0.31700971948036155
24,0.31700909870123756
25,0.3166350001430828
26,0.3165114263681694
27,0.31650618656227253
28,0.31618131523606396
29,0.3161809047371207
30,0.3157614566863365
31,0.31572239050529116
32,0.3156217033037958
33,0.3155922234440284
34,0.31557301902243695
35,0.3153306525752736
36,0.31497826861133876
37,0.31482344978005383
38,0.3147742355636213
39,0.3147490689058154
40,0.31463597763379164
41,0.3140138375604679
42,0.31388336928466215
43,0.313880168898795
44,0.31236563747026747
45,0.31226772693516697
46,0.3121211930427455
47,0.3114126696540179
48,0.3113268121240936
49,0.3112508471924604
50,0.3089100159257363
51,0.3088439892218917
52,0.3078767977862516
53,0.3078498464905999
54,0.307470896693918
55,0.3073618620659487
56,0.3060765155586991
57,0.298482658526255
58,0.2855318027579469
59,0.2848408341249591
60,0.28452469086590654
61,0.28121772739600354
62,0.2810360363199714
63,0.280986856161157
64,0.28064435072864824
65,0.26670389397038097
66,0.2665669800555838
67,0.2654660831375218
68,0.2602232560332072
69,0.25999608642167765
70,0.2599001333819242
71,0.257140216661717
72,0.2566515541495489
73,0.253831672242934
