,output_layer
0,inf
1,25454087.104768906
2,1.9687552522925116
3,0.5593292368951811
4,0.5588115184090489
5,0.5014797229989898
6,0.47306886667313025
7,0.4152681454861637
8,0.3708675254504667
9,0.35302130770657925
10,0.3230049774803994
11,0.32278408108549356
12,0.32030198782298147
13,0.3200665065684967
14,0.31981412441442647
15,0.31722443608598544
16,0.31709169255883113
17,0.3170916908362686
18,0.31709168889990524
19,0.31709168794279324
20,0.31709168782554653
21,0.3170916872663618
22,0.3170916848567956
23,0.31704025065494207
24,0.3169505670109708
25,0.31694341840180573
26,0.3169359244578885
27,0.3168857702615864
28,0.31683957226419607
29,0.3168303137650795
30,0.3166482841927342
31,0.31635611952952664
32,0.31616160863590664
33,0.3159359321218774
34,0.3157857626311091
35,0.3157547501851439
36,0.3156043409105226
37,0.3155767514391225
38,0.3155069676191219
39,0.31541902654829346
40,0.3153635537906575
41,0.31534474097941223
42,0.31532827519090745
43,0.31532326949826955
44,0.3151532265545857
45,0.31509254113603746
46,0.3150665731810064
47,0.31504035267984093
48,0.3148436464249987
49,0.31478043757253166
50,0.31400258114322577
51,0.3137021654581381
52,0.3135780021281359
53,0.31306793952446765
54,0.3118748833065291
55,0.3115906740918784
56,0.3108980647811395
57,0.31089199376283894
58,0.3094444006552098
59,0.3073163301379391
60,0.3067503568142675
61,0.30541109252894555
62,0.30513881117624864
63,0.30484707383124793
64,0.30456828612905895
65,0.2979582906920605
66,0.2963006848054415
67,0.2957753266625439
68,0.28782014644147697
69,0.282170134742096
70,0.28036843012600127
71,0.27549155458730595
72,0.2733721601363668
73,0.26995457418522656
74,0.26699173086956796
75,0.2646498403273261
76,0.2594233217907358
77,0.2573210281497965
78,0.2555360879457192
79,0.2496422267302988
80,0.2454410784985515
