,weights
0,inf
1,0.6017732042314708
2,0.5997620290385453
3,0.599009787023288
4,0.5981013537165194
5,0.34679590484166073
6,0.34618432631055907
7,0.3460645053674167
8,0.34595587413536866
9,0.34572719630843884
10,0.33037752558284983
11,0.32490007063449544
12,0.32414337435504353
13,0.3170917293927122
14,0.31709169414109023
15,0.31709166825758517
16,0.31709160602821695
17,0.3170829630660398
18,0.31708013063924684
19,0.3170684562682364
20,0.31705018293606424
21,0.31704832546246803
22,0.3170467759583686
23,0.3170183199313797
24,0.31701379974775523
25,0.31700536808490515
26,0.31699038984698785
27,0.31660178370612774
28,0.3165451470235748
29,0.31645421060678514
30,0.3162862423205616
31,0.31627568653128635
32,0.3161755246541343
33,0.3161749789847247
34,0.31614913080097595
35,0.31608338264524694
36,0.31604699676533177
37,0.31603421406678067
38,0.3159638648831664
39,0.315881805311534
40,0.3157825442756322
41,0.31574588478352433
42,0.31574136228833594
43,0.31571689011979664
44,0.31570565010781204
45,0.31569735532812954
46,0.3155674948081591
47,0.315564148887482
48,0.3155151578659543
49,0.3152877584246127
50,0.31496705139957204
51,0.3149221645941608
52,0.314118785930796
53,0.3141041723792727
54,0.3140469709111415
55,0.3140026343068955
56,0.3139774089772712
57,0.31397037012896667
58,0.31396813157290404
59,0.3139613586058948
60,0.3139400923636059
61,0.31392032771435285
62,0.3138244895866718
63,0.3135998512341841
64,0.3133518923233258
65,0.3132864424968307
66,0.3127472088176025
67,0.3116091773767768
68,0.3113152968183434
69,0.3112893965447996
70,0.3110830457490778
71,0.3103660448061233
72,0.30902778133461783
73,0.3089176297153846
74,0.3089055776811061
75,0.3088843453463796
76,0.3088807711981602
77,0.308866315321506
78,0.30884601781814175
79,0.30865717932882525
80,0.3079580884171251
81,0.30789329158357237
82,0.30761669395598834
83,0.3076038501131527
84,0.3074147894492365
85,0.307387952739757
86,0.30699293017132295
87,0.30569933394343335
88,0.30546140652872
89,0.30426246298765564
90,0.3037860608498621
91,0.3037460316131021
92,0.3033193388116004
93,0.30325428761367407
94,0.29920432673224806
95,0.29781295207458414
96,0.2958509330078398
97,0.29553009550990444
98,0.2945964726281642
99,0.29062112100840487
100,0.2893907370570458
101,0.2889852500125294
102,0.2887518706510225
103,0.2797204547156738
104,0.267631538010259
105,0.26754161633879975
106,0.2664564508346291
107,0.2659311765678367
108,0.2657990206098241
109,0.26174438391620003
110,0.261661682438264
111,0.2578042527803131
112,0.257470885676357
113,0.25746228230170387
114,0.2566326846369714
115,0.2562915629146748
