,model
0,inf
1,0.71607859166438
2,0.715992189194716
3,0.7155932564208329
4,0.20461140866772085
5,0.20449913532594047
6,0.18665178105470068
7,0.16747925796596977
8,0.11655083321552719
9,0.11146528443786284
10,0.10554934623128358
11,0.1048594045816702
12,0.10478934644252036
13,0.10478804748576084
14,0.1045721005889011
15,0.1034207375329081
16,0.1034125931349703
17,0.10338598173369086
18,0.0985939025081346
19,0.09855313103511949
20,0.09855262073036604
21,0.09787435423683674
22,0.09781047636297162
23,0.09589301932089513
24,0.09584700615000068
25,0.0957477405540296
26,0.09574410176101246
27,0.09573413971547919
28,0.0957339536764808
29,0.09286145048217301
30,0.08174892186183269
31,0.07884534131845919
32,0.07872141372873112
33,0.07863836293654927
34,0.07857790433293337
35,0.07439383522129613
36,0.0739932779172047
37,0.07397904123277417
38,0.07380528194101153
39,0.07262963836563038
40,0.0724118661335835
41,0.07229408793920696
42,0.07223434588314362
43,0.07207382700321524
44,0.07153018222240193
45,0.07140230535851078
46,0.0713520024855248
47,0.0672862209803899
48,0.05590082013674861
