,weights
0,inf
1,607513.3192145441
2,291929.1088305388
3,217780.25720876426
4,209240.45626951463
5,14013.030825683414
6,1930.0570729134995
7,0.199388388531762
8,0.07824434286982028
9,0.07697202197013164
10,0.07675450692088522
11,0.07482856562075298
12,0.07463190551379102
13,0.07419163983933708
14,0.07398221798928042
15,0.073912070565703
16,0.07278059046442108
17,0.07255288264997475
18,0.07247090691913026
19,0.07220093687248208
20,0.07197528109582979
21,0.0718143953429684
22,0.06958067794402781
23,0.06389450442090668
24,0.0543202056087529
25,0.05369247895136556
26,0.053329114130689366
27,0.05252440800133284
28,0.05221546313211068
29,0.05031623893257369
30,0.03514081443316599
