,output_layer
0,inf
1,0.23331149132080622
2,0.19005234795723044
3,0.11050959390941036
4,0.10797306989162156
5,0.10563854076000004
6,0.10502888747234095
7,0.10468575020420023
8,0.10304736541113067
9,0.10302918173508535
10,0.1020848582783347
11,0.10180466749983563
12,0.10177431879144187
13,0.10093633188081866
14,0.10012580208321271
15,0.10008924925766322
16,0.10007034894394622
17,0.09736724175585265
18,0.09706669195140184
19,0.09532497082639114
20,0.09489899579309324
21,0.09424241034787555
22,0.0936633844074117
23,0.09365307519284999
24,0.09306634154703505
25,0.08816958428226959
26,0.08802083486713959
27,0.08671512948321917
28,0.08670955333529187
29,0.08482574478071886
30,0.08480700517881165
31,0.07969592392027863
32,0.07864273937031888
33,0.07501075679419714
34,0.07226979346213205
35,0.072263495858922
36,0.07191957695960406
37,0.07147066721778043
38,0.07133356745475275
39,0.06989401324344187
40,0.06561727165056648
41,0.06186786218038218
42,0.060264582530294014
43,0.058543448069718076
44,0.054615632949406516
45,0.05415684287745718
46,0.052434256717488845
47,0.05167396894233694
48,0.04885263153644158
49,0.048119456783860565
50,0.04811385579075962
51,0.0463030777241406
52,0.04595859735665897
53,0.044903007774420266
54,0.040758869601121545
55,0.0374572839786542
56,0.037421497012967604
57,0.033276266844830094
58,0.03315853007570546
59,0.030213023375091762
60,0.030194394038085055
61,0.02945037113568424
62,0.028162006340561343
63,0.02622424942393426
64,0.025391294950463675
65,0.02463089953217995
66,0.02195402185714391
67,0.021404089222795738
68,0.02124699705629874
69,0.019582768222167805
70,0.01912662560375826
71,0.017329970518003713
72,0.016792903721844537
73,0.016345082674749892
74,0.016102208006974286
75,0.015827823206249723
76,0.015698312272287785
77,0.015402447769937308
78,0.015395142178094302
79,0.014694039643763226
80,0.014323231935386623
81,0.013991402306680747
82,0.013926286040524379
83,0.013167564931284365
84,0.012821597132670374
85,0.012813055090921236
86,0.012673781615404441
87,0.011810673556316138
88,0.011343392738552142
89,0.01093905702857867
90,0.010932752153462646
91,0.010752078204731823
92,0.010378907511197698
93,0.010182937226920727
94,0.010071224430684677
95,0.010012068365358076
96,0.010005041487621116
97,0.009824129508898766
98,0.009822932555242565
99,0.009766045535305518
100,0.009763825948203995
101,0.009763797997063894
102,0.009763496833793801
103,0.009763492488462564
104,0.0097616941943117
105,0.009751351069547297
106,0.009743798345934012
107,0.009736210380301933
108,0.009734274428108126
