,hidden_layer
0,inf
1,0.2260186385108616
2,0.11419096437144843
3,0.11392733910378011
4,0.11385963543854577
5,0.11367319725110872
6,0.11322054818158817
7,0.11225525473323471
8,0.11097583211273315
9,0.11097582967369372
10,0.1109758276411623
11,0.11097553618978039
12,0.11090572114329965
13,0.11081439736179384
14,0.11071618352498937
15,0.11071382090453395
16,0.11070925287615398
17,0.11070504212357128
18,0.11069770412315462
19,0.110695729709506
20,0.11047293826628739
21,0.11047138874693195
22,0.1104645969895395
23,0.11046237459549349
24,0.1100031446701744
25,0.11000166289541524
26,0.10999864034861753
27,0.10999488118475233
28,0.10998894005088983
29,0.10998781194792237
30,0.10998262407318969
31,0.10981590596344919
32,0.10980953560783159
33,0.1098082318684438
34,0.10689075045242993
35,0.1068347823316129
36,0.10675925797895125
37,0.10672179913347711
38,0.10657743426015373
39,0.09540456398928668
40,0.0947767073526275
41,0.09445651598730039
42,0.09340026159540722
43,0.09323673758989678
44,0.07097609497887905
45,0.07063292719521434
46,0.06913327777176485
47,0.05657896282892378
48,0.05576925532346728
49,0.042078600376515236
50,0.03974962550118287
51,0.03820554288181189
52,0.03669370678979478
53,0.03661356143887205
54,0.03441725257163166
55,0.0333031363521474
56,0.029858335506304207
57,0.02692155368211773
58,0.018510060609921577
59,0.017719123454865635
60,0.017485488340138966
61,0.016568080741784248
62,0.015616744933349724
63,0.01486571487916663
64,0.014524373829518778
65,0.01410367926473328
66,0.013793257080455243
67,0.01372835799990001
68,0.011450029887284257
69,0.011055235306481023
70,0.010749090638874395
71,0.010546037632642193
72,0.009261900139009358
73,0.008880829584976744
74,0.008609637555429019
