,topology
0,inf
1,1.0618127117864156
2,1.014475022273686
3,0.11642530921638404
4,0.10643271527276726
5,0.10630369718530704
6,0.10626982404324423
7,0.10626910884708701
8,0.10626815754959074
9,0.10626633453690118
10,0.10607366681256837
11,0.10527166598786193
12,0.10526912475027585
13,0.10520020317354463
14,0.10517373605324187
15,0.10514017723260809
16,0.1051079570275724
17,0.10497671043495908
18,0.10490032567159432
19,0.10489306761499984
20,0.10079189651909859
21,0.08788389865471967
22,0.08544806329946174
23,0.08537244912683496
24,0.08536990653177194
25,0.08533161733330039
26,0.08531974659488821
27,0.08498622428067666
28,0.08493223581413042
29,0.06806425453519696
30,0.05562871824425684
31,0.027312322832202626
